No.,海域名,位置,遠征名,旗艦練度,合計練度,最小人数,必要艦種,遠征時間(分),報酬燃料,報酬弾薬,報酬鋼材,報酬ボーキ,左側バケツ,左側バーナー,左側ギア,左側コイン,右側バケツ,右側バーナー,右側ギア,右側コイン,消費燃料,消費弾薬
1,鎮守府海域,1,練習航海,1,0,2,―,15,0,30,0,0,0,0,0,0,0,0,0,0,8,0
2,鎮守府海域,2,長距離練習航海,2,0,4,―,30,0,100,30,0,0.5,0,0,0,0,0,0,0,28,0
3,鎮守府海域,3,警備任務,3,0,3,―,20,30,30,40,0,0,0,0,0,0,0,0,0,12,9
4,鎮守府海域,4,対潜警戒任務,3,0,3,軽1 駆2,50,0,60,0,0,0.5,0,0,0,0,0,0,100,28,0
5,鎮守府海域,5,海上護衛任務,3,0,4,軽1 駆2,90,200,200,20,20,0,0,0,0,0,0,0,0,35,0
6,鎮守府海域,6,防空射撃演習,4,0,4,―,40,0,0,0,80,0,0,0,100,0,0,0,0,18,16
7,鎮守府海域,7,観艦式予行,5,0,6,―,60,0,0,50,30,0,0.5,0,0,0,0,0,0,45,0
8,鎮守府海域,8,観艦式,6,0,6,―,180,50,100,50,50,0,1,0,0,0,0,0.5,0,45,24
A1,鎮守府海域,9,兵站強化任務,5,0,4,(駆|海)3,25,45,45,0,0,0,0,0,0,0,0,0,0,24,0
A2,鎮守府海域,10,海峡警備行動,20,0,4,(駆|海)4,55,70,40,0,10,0,0,0.5,0,0.5,0,0,0,30,16
A3,鎮守府海域,11,長時間対潜警戒,35,185,5,軽1 (駆|海)3,135,120,0,60,60,0.5,0,0,0,0,0,1,0,51,33
9,南西諸島海域,1,タンカー護衛任務,3,0,4,軽1 駆2,240,350,0,0,0,0,0,0,100,1,0,0,0,29,0
10,南西諸島海域,2,強行偵察任務,3,0,3,軽2,90,0,50,0,30,0.5,0,0,0,0,0.5,0,0,20,0
11,南西諸島海域,3,ボーキサイト輸送任務,6,0,4,駆2,300,0,0,0,250,0,0,0,100,0.5,0,0,0,30,0
12,南西諸島海域,4,資源輸送任務,4,0,4,駆2,480,50,250,200,50,0,0,0,200,0,0,0.5,0,30,0
13,南西諸島海域,5,鼠輸送作戦,5,0,6,軽1 駆4,240,240,300,0,0,1,0,0,0,0,0,0,100,47,38
14,南西諸島海域,6,包囲陸戦隊撤収作戦,6,0,6,軽1 駆3,360,0,240,200,0,0.5,0,0,0,0,0,0.5,0,50,0
15,南西諸島海域,7,囮機動部隊支援作戦,8,0,6,空母2 駆2,720,0,0,300,400,0,0,0,350,0,0,0.5,0,62,60
16,南西諸島海域,8,艦隊決戦援護作戦,10,0,6,軽1 駆2,900,500,500,200,200,0,1,0,0,0,0,1,0,50,60
B1,南西諸島海域,9,南西方面航空偵察作戦,40,150,6,水母1 軽1 駆2,35,0,0,10,30,0,0,0,100,0.5,0,0,0,0,0
B2,南西諸島海域,10,敵泊地強襲反撃作戦,50,0,6,重1 軽1 駆3,520,300,200,100,0,0,0,1,0,0.5,0,0,0,100,108
17,北方海域,1,敵地偵察作戦,20,0,6,軽1 駆3,45,70,70,50,0,0,0,0,0,0,0,0,0,30,50
18,北方海域,2,航空機輸送作戦,15,0,6,空母3 駆2,300,0,0,300,100,0.5,0,0,0,0,0,0,0,70,28
19,北方海域,3,北号作戦,20,0,6,航戦2 駆2,360,400,0,50,30,0,0,0,100,0,0,0.5,0,122,108
20,北方海域,4,潜水艦哨戒任務,1,0,2,潜1 軽1,120,0,0,150,0,0,0,0.5,0,0,0,0,100,18,18
21,北方海域,5,北方鼠輸送作戦,15,30,5,軽1 駆4,140,320,270,0,0,0,0,0,100,0,0,0,0,68,54
24,北方海域,8,北方航路海上護衛,50,200,6,軽1(旗艦) 駆4,500,500,0,0,150,0,0,1,0,0.5,0,0,0,83,51
25,西方海域,1,通商破壊作戦,25,0,4,重2 駆2,2400,900,0,500,0,0,0,0,0,0,0,0,0,50,104
26,西方海域,2,敵母港空襲作戦,30,0,4,空母1 軽1 駆2,4800,0,0,0,900,1.5,0,0,0,0,0,0,0,64,60
27,西方海域,3,潜水艦通商破壊作戦,1,0,2,潜2,1200,0,0,800,0,0,0,0.5,0,0,0,0,200,16,32
28,西方海域,4,西方海域封鎖作戦,30,0,3,潜3,1500,0,0,900,350,0,0,1,0,0,0,0,400,24,48
29,西方海域,5,潜水艦派遣演習,50,0,3,潜3,1440,0,0,0,100,0,0,0.5,0,0,0,0,100,27,24
30,西方海域,6,潜水艦派遣作戦,55,0,4,潜4,2880,0,0,0,100,0,0,1.5,0,0,0,0,0,36,56
31,西方海域,7,海外艦との接触,60,200,4,潜4,120,0,30,0,0,0,0,0,100,0,0,0,0,20,0
35,南方海域,3,MO作戦,40,0,6,空母2 重1 駆1,420,0,0,240,280,0,0,0,200,0,0,0.5,0,124,156
36,南方海域,4,水上機基地建設,30,0,6,水母2 軽1 駆1,540,480,0,200,200,0,0,0,400,0.5,0,0,0,116,124
37,南方海域,5,東京急行,50,200,6,軽1 駆5,165,0,380,270,0,0,0,0,100,0,0,0,0,80,100
38,南方海域,6,東京急行（弐）,65,240,6,駆5,175,420,0,200,0,0,0,0,100,0,0,0,0,72,96
39,南方海域,7,遠洋潜水艦作戦,3,180,5,潜母艦1 潜4,1800,0,0,300,0,1,0,0,0,0,0,0,200,67,81
40,南方海域,8,水上機前線輸送,25,150,6,軽1(旗艦) 水母2 駆2,410,300,300,0,100,0,0,0,300,0.5,0,0,0,108,85
